"year","KNCcorpbea","KNRcorpbea","KNCcorp","KNRcorp","KGCcorp","KGRcorp","IGCcorpbea","IG_R_net","DEPCcorpbea","dcorpstar","dcorp_WL","pKN","KNHcorpbea","KNRIndxcorpbea"
1925,100112,1096115.66331,64278.2945934691,703776.225774692,297258.889387839,3254656.03240516,7515,82280.937447805,4656,NA,NA,9.13334270743713,70451,9.183
1926,103072,1130850.46218,67966.6829161875,745693.833326336,303488.622546728,3329713.68629055,7566,83010.0764208891,4916,0.0492062158241392,0.049105002397315,9.11455611923284,73603,9.474
1927,104569,1159975.17326,73876.8946411486,819510.214894253,320396.791893937,3554134.8218795,7162,79447.4671354619,5042,0.0494587801605163,0.0489172617199627,9.01476190271545,76300,9.718
1928,106916,1189099.88434,78197.9902590243,869703.516523497,329770.40403901,3667645.15415412,7333,81556.263345666,5125,0.0491383772352275,0.0490107010681942,8.99133886127176,79080,9.962
1929,106016,1225386.40962,84063.7059603329,971650.720891976,343844.486992661,3974328.03900891,8158,94294.2794453664,5240,0.0509347988398777,0.0490104381009391,8.65163830508584,82552,10.266
1930,100962,1247707.39721,88338.9893144048,1091709.8554866,353687.673449962,4370938.83308089,6759,83528.9940546185,5091,0.0513434257475233,0.048021053425898,8.09180102849124,84540,10.453
1931,90747,1244365.21725,84164.1673000282,1154098.34294208,334682.04293148,4589316.37477939,4381,60074.3166911551,4762,0.0523349999019744,0.047166260573285,7.29263392627989,84213,10.425
1932,84747,1226580.04532,80187.2952271403,1160585.46277501,319267.700528573,4620899.74374962,2687,38890.1150692631,4249,0.0494208749252501,0.0468224844898454,6.90921072157917,82390,10.276
1933,85527,1206526.96556,77692.7837606649,1096009.89905719,309239.177784346,4362428.31859432,2487,35084.0385299113,4018,0.0462112622528909,0.0474117077890663,7.08869361741147,80555,10.108
1934,86754,1194113.15428,76587.3441611595,1054175.65892305,303721.740140237,4180534.90492968,3085,42463.0458647878,4114,0.0469335309874965,0.0481017690320016,7.26514063504384,79462,10.004
1935,86308,1186831.97651,75288.9106929053,1035307.1173813,296828.510856881,4081725.54368996,3574,49146.515781234,4193,0.0482855926082086,0.0483320653802706,7.27213301530664,78891,9.943
1936,94927,1191725.88288,73935.5399235438,928196.367646662,287619.515422452,3610812.7397931,4598,57723.8889829262,4257,0.0450299046257813,0.049323353570932,7.96550627654351,79326,9.984
1937,98381,1207004.41984,76490.3164357658,938434.758875489,292738.907282723,3591518.22963152,5941,72888.1924179409,4755,0.0489521507045216,0.0500911226521432,8.15084007836867,80975,10.112
