"year","GVAcorp","VAcorp","DEPCcorp","NOScorp","ECcorp","Pcorp","GVAcorpnipa","VAcorpnipa","NOScorpnipa","Pcorpnipa","Tcorp","CorpImpIntAdj","KGCcorp","KNCcorp","KNCcorpbea","KNRcorpbea","IGCcorpbea","DEPCcorpbea","dcorpstar","dcorp_WL","pKN","exploit_rate","profit_share","rcorp","R_obs","R_net","Py","uK"
1929,NA,NA,5228,NA,34242,10601,54806,49578,12337,10601,2999,NA,343844.486992661,84063.7059603329,106016,1225386.40962,8158,5240,0.0509347988398777,0.0490104381009391,8.65163830508584,NA,NA,NA,NA,NA,8.778,NA
1930,NA,NA,5080,NA,30808,7361,48178,43098,9253,7361,3037,NA,353687.673449962,88338.9893144048,100962,1247707.39721,6759,5091,0.0513434257475233,0.048021053425898,8.09180102849124,NA,NA,0.0875645430558752,NA,NA,8.457,NA
1931,NA,NA,4752,NA,25369,2955,37846,33094,4883,2955,2842,NA,334682.04293148,84164.1673000282,90747,1244365.21725,4381,4762,0.0523349999019744,0.047166260573285,7.29263392627989,NA,NA,0.0334506883419613,NA,NA,7.587,NA
1932,NA,NA,4240,NA,19013,-156,27861,23621,1666,-156,2942,NA,319267.700528573,80187.2952271403,84747,1226580.04532,2687,4249,0.0494208749252501,0.0468224844898454,6.90921072157917,NA,NA,-0.00185352038764777,NA,NA,6.7,NA
1933,NA,NA,4008,NA,18002,-173,26876,22868,1399,-173,3467,NA,309239.177784346,77692.7837606649,85527,1206526.96556,2487,4018,0.0462112622528909,0.0474117077890663,7.08869361741147,NA,NA,-0.00215744900124086,NA,NA,6.514,NA
1934,NA,NA,4104,NA,21045,2457,33500,29396,4261,2457,4090,NA,303721.740140237,76587.3441611595,86754,1194113.15428,3085,4114,0.0469335309874965,0.0481017690320016,7.26514063504384,NA,NA,0.0316245586922058,NA,NA,6.871,NA
1935,NA,NA,4184,NA,23056,3859,37147,32963,5752,3859,4155,NA,296828.510856881,75288.9106929053,86308,1186831.97651,3574,4193,0.0482855926082086,0.0483320653802706,7.27213301530664,NA,NA,0.0503869149957684,NA,NA,7.012,NA
1936,NA,NA,4248,NA,26274,6126,42724,38476,7838,6126,4364,NA,287619.515422452,73935.5399235438,94927,1191725.88288,4598,4257,0.0450299046257813,0.049323353570932,7.96550627654351,NA,NA,0.0813665643933572,NA,NA,7.097,NA
1937,NA,NA,4744,NA,30548,6780,48339,43595,8426,6780,4621,NA,292738.907282723,76490.3164357658,98381,1207004.41984,5941,4755,0.0489521507045216,0.0500911226521432,8.15084007836867,NA,NA,0.0917015011591333,NA,NA,7.402,NA
1938,NA,NA,4820,NA,27266,4707,43000,38180,6339,4707,4575,NA,289408.156243796,76151.8854617627,97249,1207720.60126,4632,4829,0.0496855012241185,0.0490846809851496,8.0522763210747,NA,NA,0.0615372012998899,NA,NA,7.19,NA
1939,NA,NA,4824,NA,29816,6268,47323,42499,7932,6268,4751,NA,291909.939248375,77503.500338507,97933,1210704.69051,5000,4832,0.0494617658848687,0.0496868862404755,8.08892546362784,NA,NA,0.0823091898774756,NA,NA,7.12,NA
1940,NA,NA,5040,NA,32856,9606,54105,49065,11073,9606,5136,NA,290578.34288784,78245.5831710143,104103,1223595.95607,6205,5050,0.0490261671003415,0.0515658664597225,8.50795554558407,NA,NA,0.123942789139129,NA,NA,7.205,NA
1941,NA,NA,5584,NA,41598,15302,69955,64371,16721,15302,6052,NA,290179.441587881,79489.7955521212,116896,1244365.21725,7644,5594,0.0486667832717702,0.0537352429805097,9.39402663940862,NA,NA,0.195563754270395,NA,NA,7.692,NA
1942,NA,NA,6388,NA,52849,20411,87478,81090,21820,20411,6421,NA,288288.812415097,79311.027323596,124270,1242455.40013,6138,6401,0.051429757167952,0.0547580755543389,10.0019686812901,NA,NA,0.25677509746036,NA,NA,8.304,NA
1943,NA,NA,6552,NA,64141,24528,103482,96930,25979,24528,6810,NA,284381.668430817,78205.1467052167,125280,1231951.40597,5324,6565,0.051959594752159,0.0528285185483222,10.1692322759564,NA,NA,0.309263425625841,NA,NA,8.683,NA
1944,NA,NA,6748,NA,67074,24549,107266,100518,25913,24549,7531,NA,278013.576168595,76774.3365747259,126747,1232786.95096,6745,6760,0.0533707687523306,0.0539591315453384,10.2813385476947,NA,NA,0.3139051716447,NA,NA,8.89,NA
1945,NA,NA,6968,NA,64069,20110,100821,93853,21462,20110,8322,NA,267171.832807381,74774.9163932003,138239,1250930.2136,9152,6982,0.0512500524678157,0.0550861164366809,11.0508962448167,NA,NA,0.261936486815833,NA,NA,9.12,NA
1946,105390,97390,8000,17762,69854,17552,105807,97807,18179,17552,9774,-417,287393.518376354,82233.6866023087,167109,1287097.37531,13368,8015,0.0493494150113385,0.0579792967252367,12.9833999513635,0.254273198385203,0.180223842283602,0.234731121700005,0.366709731643938,1.28159157584261,10.296,NA
1947,126979,117183,9796,23522,82136,23178,127503,117707,24046,23178,11525,-524,315847.225264881,92453.8500512499,199192,1340214.16396,17308,9816,0.0513127696005001,0.0587401037646087,14.862699213045,0.286378689003604,0.197793195258698,0.28185529504583,0.402026644031812,1.37343117598252,11.426,NA
1948,145429,133941,11488,30081,91111,30132,146063,134575,30715,30132,12749,-634,342743.247669753,111530.510087489,218012,1392137.31691,19456,11506,0.0548216171377721,0.0577633639905217,15.6602367706011,0.330157719704536,0.22496472327368,0.325913955809271,0.424308869653143,1.30393916324708,12.067,NA
1949,142222,129810,12412,27641,88798,27933,143022,130610,28441,27933,13371,-800,348891.74695271,122322.614624959,222118,1426155.93436,17762,12432,0.0573379531479729,0.0570243839788636,15.5745942395617,0.311279533322823,0.215183730067021,0.250451647518587,0.407639335817471,1.16267952934175,12.046,NA
1950,161233,147945,13288,34470,98654,34790,162114,148826,35351,34790,14821,-881,389519.279225187,145743.490216245,249086,1465068.45818,19541,13307,0.0548809655331227,0.059909597601275,17.0016628649169,0.349402963894013,0.235154956233736,0.284411840824905,0.41392816376308,1.10627925652647,12.195,NA
1951,184769,169633,15136,39227,114553,39454,185791,170655,40249,39454,15853,-1022,421463.499426029,167950.245471303,270446,1512694.52261,23560,15158,0.0578701564156298,0.0608544839934802,17.8784279282887,0.342435379256763,0.232584461749777,0.270708488876317,0.438398580782507,1.10014129173494,13.06,NA
1952,193757,177641,16116,37295,123015,37777,195027,178911,38565,37777,17331,-1270,444947.530104233,187350.523795163,286492,1562946.58558,25179,16140,0.05820816827104,0.0596791965863795,18.330248944092,0.303174409624842,0.212659239702546,0.224929709950646,0.435460333838938,1.03419513367276,13.286,NA
1953,207568,190268,17300,37815,133985,38496,209184,191884,39431,38496,18468,-1616,466559.56899484,206712.293751586,301404,1620241.09918,27907,17321,0.0595743699943508,0.0604589307903886,18.6024166497529,0.282233085793186,0.202325141379528,0.205475806633394,0.444890671618174,1.00413960017996,13.447,NA
1954,204935,186595,18340,36446,132212,37498,206865,188525,38376,37498,17937,-1930,481245.755772063,221787.709530441,310857,1668702.7086,27377,18362,0.060835720815478,0.0609215537949065,18.628662756879,0.275663328593471,0.200959296872907,0.181401886261602,0.425842716620373,0.924014231599574,13.572,NA
1955,230740,211180,19560,46737,144625,47814,233051,213491,49048,47814,19818,-2311,528205.073656802,252505.245744341,342231,1724684.22293,30232,19585,0.0591472897634431,0.0630032458654623,19.8431107242691,0.323159896283492,0.22641348612558,0.215584533972733,0.436837909190403,0.913802797719386,13.801,NA
1956,247151,225063,22088,45370,158175,46825,250053,227965,48272,46825,21518,-2902,584383.452927163,289925.512190689,380295,1795705.54708,36751,22116,0.0605496308109834,0.0646230177862321,21.1780266880836,0.286834202623676,0.208052856311344,0.18544169196156,0.422926074929101,0.852463786758595,14.271,NA
1957,257829,233265,24564,43957,166500,46048,261661,237097,47789,46048,22808,-3832,626775.638576991,320786.532006566,408618,1865771.96267,39716,24593,0.0625341792716445,0.0646682180938482,21.9007471532186,0.264006006006006,0.197406383297966,0.158827002329183,0.411357723770767,0.803740102139708,14.744,NA
1958,252410,226014,26396,38900,163977,41334,256831,230435,43321,41334,23137,-4421,644090.235441595,335306.354592945,417497,1906594.30361,35312,26425,0.0646787123819831,0.064669202042005,21.897526873415,0.237228391786653,0.182882476306777,0.128852042950338,0.391886083829458,0.752774281019578,15.08,NA
1959,282163,254543,27620,48701,180289,52796,287446,259826,53984,52796,25553,-5283,674440.483544867,357017.508196908,435207,1954936.54946,38340,27653,0.0651509505883584,0.0662352064805256,22.2619501446333,0.270127406552812,0.207414857214695,0.157456007847192,0.418366048427206,0.790333789020725,15.287,NA
1960,293425,264937,28488,46404,190689,51543,299879,271391,52858,51543,27844,-6454,692195.774760279,372772.190405512,445400,2015095.78874,41698,28521,0.0660051109006831,0.0655343319385947,22.1031676255202,0.243349118197694,0.194548137859189,0.144371070932387,0.423904638975323,0.787142945617279,15.495,NA
1961,301705,272181,29524,47687,195554,52629,308729,279205,54711,52629,28940,-7024,714336.559883098,389926.523495781,457811,2071077.30307,41863,29559,0.0663596562917081,0.0663650651100135,22.1049692023266,0.243855917035704,0.193360300682267,0.141182742046151,0.422356935013062,0.773748339290042,15.66,NA
1962,327173,296337,30836,54106,210997,60271,335950,305114,62883,60271,31234,-8777,741179.120029308,410069.182501224,473530,2136488.53943,45401,30877,0.0672654198947274,0.0674448626179799,22.1639382220292,0.256430186211178,0.203386684754182,0.154570146856532,0.44142231096184,0.797848299656177,15.85,NA
1963,346958,314542,32416,58705,222667,66427,357362,324946,69109,66427,33170,-10404,769740.621985842,430982.833571992,489979,2205600.04646,48072,32457,0.0683844098306236,0.0685426477731084,22.2152244141642,0.263644814902972,0.211186423434708,0.161989739377213,0.450746641258049,0.805039024697126,16.032,NA
1964,374055,339643,34412,64875,239180,73239,385982,351570,76802,73239,35588,-11927,814603.825487137,462178.440735197,517915,2292616.08899,54222,34457,0.0691549938660245,0.0703234220242092,22.5905681499498,0.27123923404967,0.21563524053197,0.169934842631652,0.459186402391756,0.809330265178494,16.276,NA
1965,409642,372502,37140,74822,259864,84583,423777,386637,88957,84583,37816,-14135,870645.64380935,502106.805429873,554788,2410427.93258,64408,37189,0.0704774621912579,0.0718052190031183,23.0161620889525,0.287927531324077,0.227067237222887,0.183009401878314,0.470503703674077,0.815846340997688,16.574,NA
1966,448031,407171,40860,79730,288528,91594,465090,424230,96789,91594,38913,-17059,944308.40998779,553790.371258736,604733,2554380.398,74352,40912,0.0716932822445272,0.0737434839974909,23.6743517321651,0.276333666056674,0.224952169972812,0.182419355821284,0.474454103406527,0.809026345080088,17.039,NA
1967,472129,427033,45096,77226,308418,89091,491172,446076,96269,89091,41389,-19043,1025301.81762072,607952.646453159,657407,2684844.78001,76530,45154,0.0721930706548607,0.0746676632497317,24.4858475579192,0.250393945878645,0.208627904635005,0.160874953093715,0.460478067907464,0.776588444436315,17.533,NA
1968,519758,469766,49992,81737,340182,96111,542111,492119,104090,96111,47847,-22353,1129103.98055369,675594.085561512,724564,2819844.97768,83905,50055,0.0725565733733027,0.0761400471853814,25.695171391873,0.240274323744349,0.204593350732067,0.158089615302637,0.460327843096542,0.769334739761686,18.28,NA
1969,563220,507516,55704,77166,377454,91821,590653,534949,104599,91821,52896,-27433,1245483.29542519,750944.07169168,799646,2962365.08026,93218,55774,0.0732735730227067,0.0769759469142823,26.9934993944034,0.204438156702539,0.180922374861088,0.135911491770512,0.452209999177648,0.750015908283573,19.176,NA
1970,579800,517996,61804,63021,398010,79144,612127,550323,95348,79144,56965,-32327,1374636.5005688,831353.597172305,879918,3083638.46738,95643,61888,0.073213154782003,0.0773942469542773,28.5350571835232,0.15834024270747,0.152788824624128,0.105392669019557,0.42178423151145,0.697416841608772,20.189,NA
1971,627237,559617,67620,75162,421650,92792,660922,593302,108847,92792,62805,-33685,1511879.74117744,914772.584010397,963210,3191185.04395,99378,67722,0.0727607766126734,0.0769639898263247,30.1834580801292,0.178256848096763,0.16581340452488,0.111615563240016,0.414872283103359,0.685675337197109,21.212,NA
1972,693991,620551,73440,85091,468170,107678,732902,659462,124002,107678,67290,-38911,1646230.33042402,998001.675497933,1045186,3316397.42888,112722,73569,0.0731502560928061,0.0763789827763416,31.5157040859538,0.181752354913813,0.173519984658795,0.117710130235797,0.42156373089132,0.695380596083415,22.13,NA
1973,761592,679612,81980,79423,526064,118492,820208,738228,138039,118492,74125,-58616,1856854.37391454,1130344.36547725,1179246,3471092.6156,132952,82143,0.0729064211609466,0.0785917530468261,33.9733372339349,0.150975926883421,0.174352424618753,0.118729259588548,0.410151711786878,0.673769891070712,23.342,NA
1974,808330,712290,96040,56344,577322,108236,889579,793539,137593,108236,78624,-81249,2262510.49956558,1381974.55679456,1440265,3621848.80451,151149,96241,0.0697239262494158,0.0816123183797104,39.76601668757,0.097595449333301,0.151954962164287,0.0957548896652402,0.357271270190881,0.584909465970844,25.443,NA
1975,890083,776567,113516,84252,607817,124228,965545,852029,159714,124228,84498,-75462,2525590.16063136,1536371.67154445,1596037,3720920.56761,154861,113760,0.0732262359579354,0.0789854644804949,42.8936057892028,0.138614089438104,0.15997074302668,0.0898916694154937,0.352425747405308,0.579340934544333,27.8,NA
1976,1007054,882026,125028,107827,682786,157790,1087308,962280,188081,157790,91413,-80254,2792839.85388111,1692945.32680806,1753560,3828467.14418,172987,125314,0.0735281243877041,0.0785157236329734,45.8031879068296,0.157922101507647,0.178894953209996,0.102703013159166,0.360584227054957,0.594853232442382,29.33,NA
1977,1141226,1000770,140456,129056,771696,186670,1232519,1092063,220349,186670,100018,-91293,3120268.82943154,1888331.06130625,1950421,3963347.97828,205344,140799,0.0747323237117394,0.0802932320536509,49.2114497815667,0.167236839377164,0.186526374691488,0.110263454492033,0.365746050223471,0.604356949575653,31.152,NA
1978,1292589,1133313,159276,139913,884698,215700,1406890,1247614,254214,215700,108702,-114301,3545145.68101917,2147865.89472951,2214151,4137618.79048,249098,159693,0.075295134783557,0.0818761692988334,53.5126871787804,0.158147752114281,0.190326944101056,0.114227851471548,0.364608147676572,0.601801538527982,33.343,NA
1979,1401270,1217918,183352,98468,1004441,214605,1564355,1381003,261553,214605,115009,-163085,4088100.68955226,2482588.18316634,2554540,4334926.77169,295657,183846,0.0754002468665631,0.0830322773830692,58.9292538153787,0.0980326370588218,0.176206444112001,0.0999154558609099,0.342767976234331,0.564439164538677,36.11,NA
1980,1476974,1264886,212088,34309,1102003,187655,1702381,1490293,259716,187655,128574,-225407,4703323.79773905,2855330.41354605,2934852,4517194.94308,324889,212651,0.0755037099740441,0.0832443414469924,64.9706739908573,0.0311333090744762,0.148357243261448,0.0755884529187846,0.31402770966141,0.517269032330916,39.371,NA
1981,1600448,1355568,244880,-19402,1220566,216215,1935130,1690250,315280,216215,154404,-334682,5340164.10852483,3238095.07887224,3322949,4703879.56656,372344,245507,0.0769356388259484,0.0836522591258435,70.6427312387615,-0.0158959040314084,0.159501404577269,0.0757232854643542,0.299700152930714,0.494256024303462,43.097,NA
1982,1652169,1379649,272520,-56766,1275114,195169,2018565,1746045,309630,195169,161301,-366396,5745520.32375649,3463166.79449629,3544276,4851412.93908,380674,273224,0.0795066325116577,0.0822233504035121,73.0565722709253,-0.0445183724749317,0.141462792347909,0.0602727823754864,0.287557767948124,0.477068849997537,45.759,NA
1983,1846753,1560877,285876,30458,1352980,242847,2172454,1886578,356159,242847,177439,-325701,5997273.73868859,3586543.7188246,3662057,4983309.68393,383070,286630,0.080398172780535,0.0808712414044504,73.48644239007,0.0225117887921477,0.155583687888283,0.0701228137166063,0.307932083887808,0.514911609834001,47.552,NA
1984,2056840,1753672,303168,56979,1501072,300699,2434777,2131609,434916,300699,195621,-377937,6405007.37751903,3819011.76424292,3891586,5182408.11869,451779,303950,0.0812249119995682,0.0829998003854118,75.0922333956151,0.0379588720594349,0.171468210703028,0.0838408851456986,0.321129997011294,0.538579121242311,49.267,NA
1985,2217893,1891029,326864,66049,1615931,314980,2601493,2274629,449649,314980,209049,-383600,6811777.32948235,4047466.27832004,4116228,5392368.63832,486853,327679,0.0828318097646762,0.0842019166478654,76.334321261879,0.0408736511645609,0.166565399049935,0.0824768341771373,0.325596814564187,0.547970717354702,50.826,NA
1986,2331416,1981548,349868,38572,1723353,284091,2706772,2356904,413928,284091,219623,-375356,7208452.33812232,4251364.29143369,4316632,5562819.81628,481761,350721,0.0838170099027414,0.0852044638926707,77.5979115370061,0.0223819496063778,0.143368215153002,0.070189837410558,0.323428093943296,0.548392431271463,51.849,NA
1987,2485918,2114626,371292,33620,1847640,322803,2895133,2523841,442835,322803,233366,-409215,7682766.02602208,4488461.21583196,4552033,5706891.64527,484819,372009,0.0838402720432719,0.0861803832246993,79.7637888179081,0.018196185404083,0.15265252578943,0.0759292730219411,0.323570702476168,0.553846380855766,53.134,NA
1988,2656124,2256268,399856,1945,2002309,359258,3142537,2742681,488358,359258,252014,-486413,8267621.84812117,4784557.66927645,4847374,5852873.29138,518364,399854,0.0845988405940756,0.0878407515938483,82.8204158654711,0.00097137854347156,0.159226652153024,0.0800403485124934,0.321268201278897,0.555145153136314,55.008,NA
1989,2714561,2287413,427148,-99463,2119332,351587,3320147,2892999,506123,351587,267544,-605586,8857651.04484012,5083648.71451892,5142230,6013417.29303,565175,427148,0.0853451998095174,0.0881194642707577,85.5126087118589,-0.0469312972200675,0.153705080805259,0.0734836999160194,0.30646510979695,0.533978870775867,57.165,NA
1990,2873639,2418951,454688,-100444,2234926,343243,3467335,3012647,493252,343243,284469,-593696,9456077.55512978,5383792.25352516,5441062,6183987.83456,602591,454686,0.0859360112725276,0.0884219492321425,87.986298575685,-0.0449428750661096,0.141897458857166,0.067519024085928,0.303893340895993,0.533757408287517,59.305,NA
1991,3052127,2572499,479628,-13257,2277820,372271,3554697,3075069,489313,372271,307936,-502570,9833315.01840622,5533096.72932773,5585582,6309200.21949,590570,479628,0.0876075993739992,0.0881497031278085,88.5307456679748,-0.00582003845782371,0.144711815242688,0.0691466131064487,0.310386374715644,0.551612803698596,61.31,NA
1992,3344066,2849718,494348,103341,2420482,408200,3742365,3248017,501640,408200,325895,-398299,10314905.5034835,5741008.2471845,5786950,6432741.51444,608234,494349,0.0870975062879896,0.0885044745560982,89.9608664052434,0.0426943889688087,0.143242243618491,0.0737742389061028,0.324197444064869,0.582487579884595,62.707,NA
1993,3555697,3038509,517188,179013,2515738,453787,3918863,3401675,542179,453787,343758,-363166,10920069.8653809,6025652.96102266,6069009,6588988.42757,660680,517187,0.0872875819136082,0.0893712577437165,92.1083572495852,0.0711572508742961,0.149345287441966,0.0790430845004527,0.325611195151083,0.590093226908397,64.194,NA
1994,3789858,3242274,547584,217152,2649014,556125,4210085,3662501,637379,556125,376108,-420227,11637810.9313223,6378179.66526903,6415484,6767914.419,720597,547585,0.0876714582679464,0.09022642741179,94.7926289077977,0.081974651700595,0.171523134688802,0.0922929022957897,0.325650418482043,0.594191164077242,65.564,NA
1995,3942787,3352359,590428,179717,2787890,623730,4474232,3883804,711162,623730,384752,-531445,12395973.1860823,6758718.99136838,6794677,6993153.47559,808110,590418,0.0897860723846595,0.0920301570388142,97.1618458499046,0.0644634472665708,0.18605704222012,0.0977912245709201,0.318069984567795,0.583363061111931,66.939,NA
1996,4225737,3599405,626332,247292,2953697,701602,4770205,4143873,791760,701602,398416,-544468,13100679.5186752,7117408.35776699,7152908,7255872.69316,883000,626340,0.0908540106255681,0.0921809822600839,98.5809468066183,0.0837228734023835,0.19492166066336,0.103806949348837,0.322558611862549,0.593718498024438,68.164,NA
1997,4537144,3867088,670056,273581,3176578,782312,5143154,4473098,879591,782312,416929,-606010,13912956.4636841,7538902.16741504,7573981,7550581.34749,963381,670041,0.092059349838522,0.0936739295402653,100.309905309712,0.0861244395698768,0.202300025238629,0.109915289481218,0.326109264543661,0.60183086333321,69.34,NA
1998,4764907,4049919,714988,171664,3447481,732405,5474446,4759458,881203,732405,430775,-709539,14732942.714479,7966474.69093617,8001999,7874175.98576,1040534,714984,0.0931799679004424,0.0944000255611943,101.62331924599,0.0497940380237048,0.180844357627893,0.0971500868078156,0.323418552039656,0.598119894289159,70.119,NA
1999,5043588,4273956,769632,135739,3684312,745039,5802061,5032429,894212,745039,453905,-758473,15662531.814252,8452669.04441488,8487993,8225224.24513,1129231,769635,0.0947157989156189,0.0961803419370585,103.194669799131,0.0368424281114086,0.174320699604769,0.0935217933784018,0.322016137608776,0.596685848398686,71.111,NA
