"year","asset","K_net_cc","K_gross_cc","K_net_chain","K_net_real","IG_cc","IG_real","D_cc","D_real","p_K"
1925,"Defense_IP",0,0,0,NA,0,NA,0,NA,NA
1926,"Defense_IP",0,0,0,NA,0,NA,0,NA,NA
1927,"Defense_IP",0,0,0,NA,0,NA,0,NA,NA
1928,"Defense_IP",0,0,0,NA,0,NA,0,NA,NA
1929,"Defense_IP",0,0,0,NA,0,NA,0,NA,NA
1930,"Defense_IP",0,0,0,NA,0,NA,0,NA,NA
1931,"Defense_IP",0,0,0,NA,0,NA,0,NA,NA
1932,"Defense_IP",0,0,0,NA,0,NA,0,NA,NA
1933,"Defense_IP",3,3,0.121,99.11594,0.075,2.4778985,0,0,0.0302675835995704
1934,"Defense_IP",20,20,0.697,570.94058,0.507,14.473343703,0,0,0.03502991502198
1935,"Defense_IP",25,25,0.853,698.72642,0.99,27.669566232,0,0,0.0357793827232123
1936,"Defense_IP",78,79,2.458,2013.44612,2.657,68.5862351389744,1,25.8134117948718,0.0387395516697512
1937,"Defense_IP",133,136,3.923,3213.48622,5.619,135.763752407368,3,72.4846515789474,0.0413880722973818
1938,"Defense_IP",188,193,5.61,4595.3754,8.554,209.0895807,5,122.217430851064,0.040910694695367
1939,"Defense_IP",212,219,6.25,5119.625,10.245,247.408293042453,7,169.044221698113,0.0414092829064629
1940,"Defense_IP",438,447,11.814,9677.31996,12.694,280.465524137534,9,198.849040273973,0.0452604648611825
1941,"Defense_IP",2415,2444,57.653,47225.87842,38.385,750.627471284348,29,567.101645623188,0.0511372171529001
1942,"Defense_IP",7617,7719,164.217,134516.71338,116.603,2059.21653278825,102,1801.32660690035,0.0566249338733286
1943,"Defense_IP",10058,10242,214.18,175443.4052,196.636,3429.95520231728,184,3209.54330451382,0.0573290286319636
1944,"Defense_IP",11425,11639,245.625,201201.2625,237.894,4189.45935590153,214,3768.67135010941,0.0567839379238488
1945,"Defense_IP",13699,13939,260.894,213708.71116,261.462,4078.889483708,240,3744.0755294839,0.0641012709572882
1946,"Defense_IP",13468,13767,253.374,207548.77836,264.052,4069.17656842254,299,4607.74314891892,0.0648907698056373
1947,"Defense_IP",12541,12888,246.685,202069.5509,255.558,4117.73305867971,347,5591.11188599793,0.0620627894907644
1948,"Defense_IP",13229,13605,242.379,198542.33406,249.325,3741.89790910194,376,5643.05069215814,0.0666306259701881
1949,"Defense_IP",12578,12953,238.312,195210.89168,244.826,3799.70597602542,375,5820.00988869455,0.0644328802135617
1950,"Defense_IP",12679,13025,235.623,193008.22422,241.292,3673.1083238814,346,5267.04358231091,0.0656915012364855
1951,"Defense_IP",14698,15130,245.359,200983.37126,244.701,3346.09007556765,432,5907.25380217172,0.0731304281934155
1952,"Defense_IP",16118,16591,266.005,217895.3357,258.629,3496.34277061393,473,6394.37236543616,0.0739712942831938
1953,"Defense_IP",17198,17737,287.309,235346.29426,277.163,3792.84131619865,539,7375.95375079312,0.0730752955090103
1954,"Defense_IP",18042,18541,304.238,249213.51532,295.08,4075.92972512058,499,6892.66955684957,0.0723957526012719
1955,"Defense_IP",19007,19532,306.364,250955.00696,304.47,4020.00689057248,525,6931.7292920503,0.0757386761485478
1956,"Defense_IP",20576,21148,304.563,249479.73582,304.536,3692.43588781491,572,6935.38145844868,0.0824756364775278
1957,"Defense_IP",22023,22642,303.172,248340.31208,303.001,3416.76260729928,619,6980.09595320892,0.0886807293408955
1958,"Defense_IP",22326,22989,301.477,246951.86978,301.46,3334.50285155777,663,7333.5613035985,0.0904062804622187
1959,"Defense_IP",20419,21013,297.899,244020.98686,298.894,3571.98730821944,594,7098.70543096332,0.0836772290070067
1960,"Defense_IP",19713,20291,295.098,241726.57572,295.834,3627.60309448336,578,7087.60517253386,0.0815508180732028
1961,"Defense_IP",19973,20544,294.171,240967.23294,293.987,3546.84994293956,571,6888.91453505933,0.0828867882006729
1962,"Defense_IP",19647,20198,291.055,238414.7927,291.942,3542.6931038033,551,6686.34146575559,0.0824067994166874
1963,"Defense_IP",19785,20345,286.01,234282.2314,287.871,3408.79758581498,560,6631.18774748547,0.0844494261548168
1964,"Defense_IP",19589,20164,279.861,229245.33954,282.299,3303.67706911034,575,6729.08623388126,0.0854499377797907
1965,"Defense_IP",20716,21299,272.855,223506.4447,275.662,2974.13755352826,583,6290.02979629755,0.0926863653878344
1966,"Defense_IP",21155,21772,266.226,218076.36564,268.8,2770.92541167724,617,6360.34590403592,0.0970073026387583
1967,"Defense_IP",22797,23436,260.235,213168.8979,262.434,2453.95300046009,639,5975.12504970391,0.106943368495972
1968,"Defense_IP",22861,23511,255.062,208931.48668,256.591,2345.03911021862,650,5940.48669533266,0.109418644184608
1969,"Defense_IP",24466,25144,249.837,204651.48018,251.201,2101.2284996606,678,5671.28682915229,0.119549587320263
1970,"Defense_IP",25778,26500,244.91,200615.5774,246.134,1915.52155046053,722,5618.91717289161,0.128494508422954
1971,"Defense_IP",28025,28821,241.919,198165.52966,242.173,1712.41180425874,796,5628.53743476753,0.141422173917348
1972,"Defense_IP",27921,28710,237.803,194793.94942,238.686,1665.21931919566,789,5504.54590066187,0.143336074262753
