"year","ME_K_net_chain","NRC_K_net_chain","RC_K_net_chain","IP_K_net_chain","NR_K_net_chain","TOTAL_PRODUCTIVE_K_net_chain","TOTAL_WITH_RC_K_net_chain","TOTAL_ALL_K_net_chain"
1925,15.961,18.914,9.141,7.761,34.875,34.875,44.016,51.777
1926,16.861,19.499,9.477,7.952,36.36,36.36,45.837,53.789
1927,17.656,20.072,9.757,8.134,37.728,37.728,47.485,55.619
1928,18.341,20.622,10.023,8.413,38.963,38.963,48.986,57.399
1929,19.145,21.239,10.329,8.844,40.384,40.384,50.713,59.557
1930,19.471,21.698,10.53,9.033,41.169,41.169,51.699,60.732
1931,18.528,21.795,10.519,8.968,40.323,40.323,50.842,59.81
1932,17.041,21.638,10.354,8.718,38.679,38.679,49.033,57.751
1933,15.636,21.395,10.145,8.603,37.031,37.031,47.176,55.779
1934,14.821,21.197,10.004,8.567,36.018,36.018,46.022,54.589
1935,15.091,21.042,9.926,8.592,36.133,36.133,46.059,54.651
1936,16.079,21.006,9.955,8.764,37.085,37.085,47.04,55.804
1937,17.513,21.087,10.046,9.094,38.6,38.6,48.646,57.74
1938,18.024,21.051,10.035,9.12,39.075,39.075,49.11,58.23
1939,18.369,21.039,10.054,9.23,39.408,39.408,49.462,58.692
1940,19.043,21.09,10.145,9.535,40.133,40.133,50.278,59.813
1941,20.749,21.211,10.257,10.1,41.96,41.96,52.217,62.317
1942,20.686,21.079,10.151,10.271,41.765,41.765,51.916,62.187
1943,19.84,20.834,10.02,10.205,40.674,40.674,50.694,60.899
1944,20.705,20.691,9.958,10.334,41.396,41.396,51.354,61.688
1945,21.88,20.699,10.075,10.74,42.579,42.579,52.654,63.394
1946,22.956,21.152,10.364,11.605,44.108,44.108,54.472,66.077
1947,26.985,21.522,10.716,12.58,48.507,48.507,59.223,71.803
1948,31.897,21.989,11.13,13.269,53.886,53.886,65.016,78.285
1949,36.092,22.417,11.47,13.506,58.509,58.509,69.979,83.485
1950,39.877,22.909,11.889,13.78,62.786,62.786,74.675,88.455
1951,42.545,23.476,12.261,14.424,66.021,66.021,78.282,92.706
1952,43.936,24.022,12.594,15.141,67.958,67.958,80.552,95.693
1953,45.205,24.649,13.027,15.852,69.854,69.854,82.881,98.733
1954,45.532,25.292,13.41,16.48,70.824,70.824,84.234,100.714
1955,46.38,25.995,13.914,17.097,72.375,72.375,86.289,103.386
