"year","ME_K_net_real","NRC_K_net_real","RC_K_net_real","IP_K_net_real","NR_K_net_real","TOTAL_PRODUCTIVE_K_net_real","TOTAL_WITH_RC_K_net_real","TOTAL_ALL_K_net_real","ME_K_gross_real","NRC_K_gross_real","RC_K_gross_real","IP_K_gross_real","NR_K_gross_real","TOTAL_PRODUCTIVE_K_gross_real","TOTAL_WITH_RC_K_gross_real","TOTAL_ALL_K_gross_real","ME_IG_real","NRC_IG_real","RC_IG_real","IP_IG_real","NR_IG_real","TOTAL_PRODUCTIVE_IG_real","TOTAL_WITH_RC_IG_real","TOTAL_ALL_IG_real","ME_D_real","NRC_D_real","RC_D_real","IP_D_real","NR_D_real","TOTAL_PRODUCTIVE_D_real","TOTAL_WITH_RC_D_real","TOTAL_ALL_D_real","ME_Ret_real","NRC_Ret_real","RC_Ret_real","IP_Ret_real","NR_Ret_real","TOTAL_PRODUCTIVE_Ret_real","TOTAL_WITH_RC_Ret_real","TOTAL_ALL_Ret_real"
1925,42755.68836,2674982.81008,1783677.93681,307021.35711,2717738.49844,2717738.49844,4501416.43525,4808437.79236,76771.6297521049,2498860.67481364,2145022.30838546,434817.361280996,2575632.30456575,2575632.30456575,4720654.61295121,5155471.9742322,10927.8696777049,128685.116513811,152297.317381327,29549.169895796,139612.986191516,139612.986191516,291910.303572844,321459.47346864,6403.79535049181,65736.9790240832,83568.1796833526,20901.9262817659,72140.774374575,72140.774374575,155708.954057928,176610.880339694,4703.1257196,64058.7988729684,40667.856959268,101317.0478463,68761.9245925684,68761.9245925684,109429.781551836,210746.829398136
1926,45166.57236,2757718.61128,1849241.41857,314577.22352,2802885.18364,2802885.18364,4652126.60221,4966703.82573,81295.4741564713,2583807.41092319,2256792.44519028,377318.422357249,2665102.88507966,2665102.88507966,4921895.33026994,5299213.75262719,9641.9530545067,150706.227552007,154670.582972535,29464.5333324518,160348.180606513,160348.180606513,315018.763579048,344483.2969115,7250.87290894466,67709.4216897168,89115.5489606164,22177.9860737662,74960.2945986615,74960.2945986615,164075.843559278,186253.829633044,5118.10865014033,65759.4914424643,42900.4461677092,86963.4722561992,70877.6000926046,70877.6000926046,113778.046260314,200741.518516513
1927,47296.18656,2838757.26784,1903877.65337,321777.05434,2886053.4544,2886053.4544,4789931.10777,5111708.16211,85724.0027153001,2667796.68267061,2359626.36209244,331688.725087569,2753520.68538591,2753520.68538591,5113147.04747834,5444835.77256591,9848.22683592689,151984.203613819,147969.765805959,29833.9872017704,161832.430449746,161832.430449746,309802.196255705,339636.183457475,7718.04610966057,70432.4067164118,92994.1374882703,22833.0396392346,78150.4528260724,78150.4528260724,171144.590314343,193977.629953577,5419.69827709809,67994.9318663996,45135.8489038057,75463.6844714497,73414.6301434977,73414.6301434977,118550.479047303,194014.163518753
1928,49131.13716,2916543.06384,1955782.07643,332814.15763,2965674.201,2965674.201,4921456.27743,5254270.43506,89983.5238223673,2746030.81182169,2459121.09557819,299214.732376098,2836014.33564406,2836014.33564406,5295135.43122224,5594350.16359834,9974.45462142049,148439.305010835,146687.260727598,33863.752306043,158413.759632256,158413.759632256,305101.020359854,338964.772665897,8152.49541812697,71729.8328654259,95243.9771055087,23240.5220359867,79882.3282835529,79882.3282835529,175126.305389062,198366.827425048,5714.93351435334,70205.1758597528,47192.5272418487,66337.7450175139,75920.1093741061,75920.1093741061,123112.636615955,189450.381633469
1929,51284.8602,3003804.58408,2015491.67589,349864.30644,3055089.44428,3055089.44428,5070581.12017,5420445.42661,94680.5605278803,2838150.43310411,2571019.94604033,282207.352705819,2932830.99363199,2932830.99363199,5503850.93967232,5786058.29237814,10695.9382936709,164383.590014569,161081.272373708,42835.5668049401,175079.52830824,175079.52830824,336160.800681948,378996.367486888,8532.02014177215,76620.485287403,101081.201120414,25447.0564912805,85152.5054291752,85152.5054291752,186233.706549589,211680.76304087,5998.90158815782,72263.9687321497,49182.4219115637,59842.9464752197,78262.8703203075,78262.8703203075,127445.292231871,187288.238707091
1930,52158.13596,3068720.36656,2054712.6873,357341.05383,3120878.50252,3120878.50252,5175591.18982,5532932.24365,98044.9194234274,2910003.82301502,2664647.8888973,260627.919974695,3008048.74243844,3008048.74243844,5672696.63133575,5933324.55131044,9676.3962640724,146541.559203121,145048.34177778,34862.0378100399,156217.955467193,156217.955467193,301266.297244973,336128.335055013,8795.29351482353,80260.4794401759,105226.483657766,27153.9523902741,89055.7729549994,89055.7729549994,194282.256612765,221436.209003039,6312.03736852536,74688.1692922134,51420.3989208066,56441.4705411638,81000.2066607387,81000.2066607387,132420.605581545,188862.076122709
1931,49632.06528,3082438.9524,2052566.26379,354769.68568,3132071.01768,3132071.01768,5184637.28147,5539406.96715,97648.9792933972,2932596.82486293,2718166.62878382,233813.254155229,3030245.80415633,3030245.80415633,5748412.43294014,5982225.68709537,6140.38783153159,99172.0498219954,106811.697664458,25310.9181754726,105312.437653527,105312.437653527,212124.135317985,237435.053493458,8750.87356739663,84905.0648439051,109619.041539331,28159.2648685953,93655.9384113017,93655.9384113017,203274.979950633,231434.244819228,6536.32796156183,76579.0479740794,53292.9577779461,52125.583994939,83115.3759356412,83115.3759356412,136408.333713587,188533.917708526
1932,45648.74916,3060234.64336,2020369.91114,344879.80818,3105883.39252,3105883.39252,5126253.30366,5471133.11184,94911.409250254,2911430.67491821,2733040.42966318,203699.464571891,3006342.08416846,3006342.08416846,5739382.51383164,5943081.97840353,3772.36190975,56007.4507095617,69237.1334550405,16648.8612477082,59779.8126193117,59779.8126193117,129016.946074352,145665.80732206,7608.12486,78986.8637266976,102816.559393775,26780.8122581303,86594.9885866976,86594.9885866976,189411.547980473,216192.360238603,6509.93195289314,77173.6006542877,54363.3325756763,46762.6508310457,83683.5326071808,83683.5326071808,138046.865182857,184809.516013903
1933,41885.09136,3025867.4644,1979587.86445,340330.46453,3067752.55576,3067752.55576,5047340.42021,5387670.88474,91950.5949705566,2877166.75254823,2732716.5635314,181695.960110456,2969117.34751878,2969117.34751878,5701833.91105019,5883529.87116064,3366.61300365283,42352.6743383939,54336.9424614878,18736.388452943,45719.2873420467,45719.2873420467,100056.229803535,118792.618256478,7175.78546318491,75122.4454325194,94061.4978593366,22815.2064281472,82298.2308957043,82298.2308957043,176359.728755041,199174.935183188,6327.42728335027,76616.5967083738,54660.8085932636,40739.8929143782,82944.0239917241,82944.0239917241,137604.832584988,178344.725499366
1934,39701.90196,2997864.57784,1952074.61764,338906.32217,3037566.4798,3037566.4798,4989641.09744,5328547.41961,90581.4542410981,2848440.42618221,2742283.64553766,168191.766968008,2939021.8804233,2939021.8804233,5681305.52596097,5849497.29292897,4760.89893524528,46988.5881747226,64221.413276887,22834.9988796429,51749.4871099678,51749.4871099678,115970.900386855,138805.899266498,7041.46940422642,75203.784201452,91767.3625990812,24311.5789529167,82245.2536056784,82245.2536056784,174012.61620476,198324.195157676,6130.03966470377,75714.9145407428,54654.3312706281,36339.1920220912,81844.9542054465,81844.9542054465,136499.285476075,172838.477498166
