"year","line_number","line_desc","value","series_code","unit","table_name","source"
1925,1,"Government fixed assets",10.7,"e1gtotl1es00","0","FAAt707","BEA_API"
1926,1,"Government fixed assets",11,"e1gtotl1es00","0","FAAt707","BEA_API"
1927,1,"Government fixed assets",11.3,"e1gtotl1es00","0","FAAt707","BEA_API"
1928,1,"Government fixed assets",11.6,"e1gtotl1es00","0","FAAt707","BEA_API"
1929,1,"Government fixed assets",11.8,"e1gtotl1es00","0","FAAt707","BEA_API"
1930,1,"Government fixed assets",11.9,"e1gtotl1es00","0","FAAt707","BEA_API"
1931,1,"Government fixed assets",12,"e1gtotl1es00","0","FAAt707","BEA_API"
1932,1,"Government fixed assets",12.3,"e1gtotl1es00","0","FAAt707","BEA_API"
1933,1,"Government fixed assets",12.6,"e1gtotl1es00","0","FAAt707","BEA_API"
1934,1,"Government fixed assets",12.9,"e1gtotl1es00","0","FAAt707","BEA_API"
1935,1,"Government fixed assets",13.2,"e1gtotl1es00","0","FAAt707","BEA_API"
1936,1,"Government fixed assets",13.2,"e1gtotl1es00","0","FAAt707","BEA_API"
1937,1,"Government fixed assets",13.4,"e1gtotl1es00","0","FAAt707","BEA_API"
1938,1,"Government fixed assets",13.5,"e1gtotl1es00","0","FAAt707","BEA_API"
1939,1,"Government fixed assets",13.5,"e1gtotl1es00","0","FAAt707","BEA_API"
1940,1,"Government fixed assets",13.6,"e1gtotl1es00","0","FAAt707","BEA_API"
1941,1,"Government fixed assets",12.6,"e1gtotl1es00","0","FAAt707","BEA_API"
1942,1,"Government fixed assets",10.4,"e1gtotl1es00","0","FAAt707","BEA_API"
1943,1,"Government fixed assets",9.1,"e1gtotl1es00","0","FAAt707","BEA_API"
1944,1,"Government fixed assets",8.6,"e1gtotl1es00","0","FAAt707","BEA_API"
1945,1,"Government fixed assets",8.8,"e1gtotl1es00","0","FAAt707","BEA_API"
1946,1,"Government fixed assets",10.3,"e1gtotl1es00","0","FAAt707","BEA_API"
1947,1,"Government fixed assets",12.4,"e1gtotl1es00","0","FAAt707","BEA_API"
1948,1,"Government fixed assets",13.8,"e1gtotl1es00","0","FAAt707","BEA_API"
